ID;NAME;Lat;Lon;ADMIN;LOCAL;DATE;FRONT;WHOLE;PLACE;POSITION;YEAR;PERSON;GENDER;SIZE;FONT;LANGUAGE;SKETCHFAB
1;Куркачинское надгробие 2;56.01066;49.61834;Высокогорский;Куркачи;16;нет;да;отдельно;горизонталь;;;;;;;https://sketchfab.com/3d-models/2-9eb50312aa54416e85926ea3218a1bfe
2;Хохловское надгробие;56.04421;49.39041;Высокогорский;Хохлово;16;нет;да;отдельно;горизонталь;;;;;;;https://sketchfab.com/3d-models/hohlovo-tombstone-004fda75ccff4851a1f2cc91aad3562d
3;Старокишитское надгробие;56.25246;49.62586;Арский;Старый Кишит;16;нет;да;отдельно;вертикаль;;;;;;;https://sketchfab.com/3d-models/starokishit-thombstone-7b9dfc082e3b430ea4423faee31aee51
4;Нижнеурское надгробие 1;56.39280;49.61323;Арский;Нижняя Ура;17;да;да;кладбище;вертикаль;1688-1689;;;;;;https://sketchfab.com/3d-models/1nizhneur-thombstone-1-8381e689b1d846a2b37a928d899941c8
5;Нижнеурское надгробие 2;56.39276;49.61331;Арский;Нижняя Ура;17;да;нет;кладбище;вертикаль;1687-1688;;;;;;https://sketchfab.com/3d-models/2nizhneur-thombstone-2-8e6d8978754546c8ae438859fd2182f1
6;Нижнеурское надгробие 3;56.39361;49.61378;Арский;Нижняя Ура;16;да;да;кладбище;вертикаль;1546;;;;;;https://sketchfab.com/3d-models/3nizhneur-thombstone-3-67d2bbbbffee47b6842f9e66f465f16a
7;Староашитское надгробие 1;56.34586;49.64117;Арский;Старый Ашит;14;да;да;отдельно;вертикаль;;Афах;ж;;;;https://sketchfab.com/3d-models/1-12ca43ca688047e4812285362e0ce908
8;Староашитское надгробие 2;56.34505;49.64122;Арский;Старый Ашит;14;да;да;отдельно;вертикаль;1357;Салих;м;;;;https://sketchfab.com/3d-models/2-8695ae01d858455fb51c4e0b2c82543c
9;Староашитское надгробие 3;56.34635;49.64150;Арский;Старый Ашит;16;нет;да;отдельно;вертикаль;;;;;;;https://sketchfab.com/3d-models/3-bc9950491d344770a65bc4ab6b34d73b
10;Качелинское надгробие;56.05456;49.82737;Арский;Качелино;17;да;да;кладбище;вертикаль;1684-1685;;;;;;https://sketchfab.com/3d-models/kachelino-tombstone-94e38ee3a0534b76868ff1d9990b9bd0
11;Кодряковское надгробие 1;56.034405;49.77395;Арский;Татарское Кодряково;17;да;нет;кладбище;горизонталь;1627-1628;;;;;;https://sketchfab.com/3d-models/1-1a760cb3146f4b27ac0aff52f90bd07f
12;Кодряковское надгробие 2;56.03415;49.77372;Арский;Татарское Кодряково;16;да;нет;кладбище;горизонталь;1540-1541;;;;;;https://sketchfab.com/3d-models/2-d419d3fc6a804b598028f923995f5f23
13;Нижнеметескинское надгробие 2;56.13566;49.91494;Арский;Нижние Метески;16;да;да;кладбище;вертикаль;1541-1542;Аман-Ходжа хафиз;м;;;;https://sketchfab.com/3d-models/2-34792b02639241f69d4d607d6e7d7780
14;Нижнеметескинское надгробие 1;56.13565;49.91493;Арский;Нижние Метески;16;да;да;кладбище;вертикаль;1541-1542;Джийан-Ходжа;м;;;;https://sketchfab.com/3d-models/1-e2b1234729fb4c77900a8f5fa1111d68
15;Казылинское надгробие;56.14125;49.95387;Арский;Казылино;16;да;нет;отдельно;вертикаль;1538-1539;;;;;;https://sketchfab.com/3d-models/kazylino-tombstone-d55886c9c67f4c7bbe07a1f28ecca435
16;Арское надгробие;56.07135;49.88905;Арский;Арск;16;да;да;кладбище;вертикаль;1543-1544;;;;;;https://sketchfab.com/3d-models/rsk-tombstone-f0325abbba6c496a83a6d70b45d4eae5
17;Среднесердинское надгробие 1;56.10569;49.57815;Арский;Средняя Серда;16;нет;да;отдельно;вертикаль;;;;;;;https://sketchfab.com/3d-models/1sr-serda-thombst-1-662ce02244144d15a0f5c724b4dba727
18;Среднесердинское надгробие 2;56.10567;49.57810;Арский;Средняя Серда;16;нет;да;отдельно;горизонталь;;;;;;;https://sketchfab.com/3d-models/2-105e053942e34a9099a332b0e8436a8d
19;Верхнеатынское надгробие;56.14159;49.69614;Арский;Верхние Аты;16;да;да;кладбище;вертикаль;1538;;;;;;https://sketchfab.com/3d-models/verhnie-aty-tombstone-dcca98f09bf84050a294b2267cf3c832
20;Среднеатынское надгробие 2;56.12310;49.67720;Арский;Средние Аты;16;да;да;кладбище;горизонталь;;;;;;;https://sketchfab.com/3d-models/2-39c991ecd6e9479a9c07caee8bb0a88f
21;Среднеатынское надгробие 1;56.12266;49.67709;Арский;Средние Аты;16;да;нет;кладбище;горизонталь;;;;;;;https://sketchfab.com/3d-models/1-e352b5784b6b4220bbc219a01a8751b2
22;Среднесердинское кладбище. Надгробие 1;56.11099;49.59069;Арский;Средняя Серда;16;да;да;кладбище;вертикаль;1541-1542;;ж;;;;https://sketchfab.com/3d-models/1-926ce3bf034149b4a47cb4f6b5868148
23;Среднесердинское кладбище. Надгробие 2;56.11105;49.59058;Арский;Средняя Серда;16;да;да;кладбище;вертикаль;1551;Гази-Мардан;м;;;;https://sketchfab.com/3d-models/2-2df70dceca7a4e6787218ba6f01832d4
24;Среднесердинское кладбище. Надгробие 3;56.11120;49.59035;Арский;Средняя Серда;16;да;да;кладбище;вертикаль;;;;;;;https://sketchfab.com/3d-models/1-a58ec0f683794c079ffacb15538b6c65
25;Среднесердинское кладбище. Надгробие 4;56.11162;49.59068;Арский;Средняя Серда;16;да;да;кладбище;вертикаль;;;;;;;https://sketchfab.com/3d-models/4-c4d498d73ad24868a5cb53697b6f6b5f
26;Краснинское надгробие 1;56.06785;49.59547;Высокогорский;Красна;16;да;нет;кладбище;горизонталь;1551;Камал;ж;;;;https://sketchfab.com/3d-models/1krasninsky-tombstone-1-869335638d6343e0bf3db6275e542458
27;Краснинское надгробие 2;56.06773;49.59526;Высокогорский;Красна;17;да;да;кладбище;вертикаль;1519;;;;;;https://sketchfab.com/3d-models/2krasninsky-tombstone-2-66af1ba773a14b249b650724d912a0db
28;Ямашурминское надгробие 1;55.97923;49.60237;Высокогорский;Ямашурма;16;да;да;кладбище;вертикаль;1521;;;;;;https://sketchfab.com/3d-models/1-2894e651fe6341ebae15eca349d6db3e
29;Ямашурминское надгробие 6;55.97884;49.60272;Высокогорский;Ямашурма;17;да;да;кладбище;вертикаль;1550;;;;;;https://sketchfab.com/3d-models/6-8dcf6787b183445fbcc1ccb5d324fa7c
30;Ямашурминское надгробие 2;55.97903;49.60205;Высокогорский;Ямашурма;16;да;да;кладбище;вертикаль;1399;Исхак;м;;;;https://sketchfab.com/3d-models/2-302127fa2feb4738967793ab732350e9
31;Ямашурминское надгробие 3;55.97894;49.60236;Высокогорский;Ямашурма;14;да;да;кладбище;вертикаль;1520;;;;;;https://sketchfab.com/3d-models/3-93e68e51bf494c95b63096740396055d
32;Ямашурминское надгробие 5;55.97893;49.60260;Высокогорский;Ямашурма;16;да;да;кладбище;вертикаль;1539;;;;;;https://sketchfab.com/3d-models/5-827e1e678c36486386313a502a8ca822
33;Ямашурминское надгробие 4;55.97893;49.60262;Высокогорский;Ямашурма;16;нет;да;кладбище;вертикаль;;;;;;;https://sketchfab.com/3d-models/4yamashurma-tombstone-4-6b6e8195e9894cfe9983f69228cc7d81
34;Куркачинское надгробие 1;56.01062;49.61825;Высокогорский;Куркачи;16;да;да;отдельно;вертикаль;1543;;;;;;https://sketchfab.com/3d-models/1kurkachi-tombstone-1-5c5e706fcf034bb599bd9160c2c59057
35;Мемдельское надгробие;56.05277;48.95071;Высокогорский;Мемдель;16;да;нет;кладбище;горизонталь;1540;;;;;;https://sketchfab.com/3d-models/1-8696e8d4f0ff42f798a7dcc438db3cfa
36;Чувашлинское надгробие 1;56.06396;49.00279;Высокогорский;Чувашли;16;да;да;кладбище;вертикаль;1546-1547;;;;;;https://sketchfab.com/3d-models/1-1e7ba3d690104ea08620b5de6f1dbf58
37;Чувашлинское надгробие 3;56.06332;49.00250;Высокогорский;Чувашли;16;да;да;кладбище;вертикаль;;;;;;;https://sketchfab.com/3d-models/3chuvashli-tombstone-3-f0683c1c5b6a48f69c1f43912b216619
38;Чувашлинское надгробие 2;56.06361;49.002652;Высокогорский;Чувашли;16;да;нет;кладбище;горизонталь;;;;;;;https://sketchfab.com/3d-models/2chuvashli-tombstone-2-23effb3d567b46e1ad1f4791ddc318c1
39;Чувашлинское надгробие 4;56.06337;49.00226;Высокогорский;Чувашли;16;да;да;кладбище;вертикаль;;;;;;;https://sketchfab.com/3d-models/4chuvashli-tombstone-4-612a68e4a2bb4d97948de9a6f5bfead6
40;Айбашское надгробие;56.10023;48.98456;Высокогорский;Айбаш;16;да;нет;отдельно;вертикаль;;;;;;;https://sketchfab.com/3d-models/aibash-tombstone-41c5815df80f4a39a4c224a778d9a7f2
41;Казакларское надгробие;56.14839;50.11520;Арский;Казаклар;17;да;нет;отдельно;вертикаль;;;;;;;https://sketchfab.com/3d-models/kazaklar-tombstone-2fbdc525e8e2404f96dd80a0436a65c4
42;Старомасринское надгробие 1;56.12504;50.08438;Арский;Старая Масра;16;да;да;отдельно;вертикаль;1540-1541;;;;;;https://sketchfab.com/3d-models/b4dd761f51df449fb49feb7e4f847f58
43;Старомасринское надгробие 2;56.11986;50.07561;Арский;Старая Масра;16;да;да;отдельно;горизонталь;1530-1531;;;;;;https://sketchfab.com/3d-models/2-fbe8dbe472c34555a43aab992decfff8
44;Наласинское надгробие 1;56.10744;49.73031;Арский;Наласа;16;да;да;отдельно;вертикаль;;;;;;;https://sketchfab.com/3d-models/1nalasa-tombstone-1-aa0c9af74194477688d0ac86c13d4255
45;Наласинское кладбище. Надгробие 1;56.10699;49.73036;Арский;Наласа;16;да;да;кладбище;вертикаль;1520-1521;;;;;;https://sketchfab.com/3d-models/1-3fbc5513a289474db78c971371eede4a
46;Наласинское кладбище. Надгробие 2;56.10712;49.72988;Арский;Наласа;16;нет;да;кладбище;вертикаль;;;;;;;https://sketchfab.com/3d-models/2-3d8657679af74330aad48ac8456c0654
47;Наласинское кладбище. Надгробие 3;56.10690;49.73049;Арский;Наласа;16;да;да;кладбище;вертикаль;;;;;;;https://sketchfab.com/3d-models/3-d414a93a1af3472a805a791b596953b7
48;Чиршинское надгробие;56.08250;49.22781;Высокогорский;Чирши;16;да;да;кладбище;вертикаль;;;;;;;https://sketchfab.com/3d-models/chirshi-tombstone-998e4ebe6d7c4a87b28017742659149f
49;Альдермышское надгробие;56.02441;49.23068;Высокогорский;Альдермыш;16;да;да;отдельно;вертикаль;1541;;;;;;https://sketchfab.com/3d-models/aldermysh-tombstone-72591764da034c4080e9ba52638ceead
50;Ибринское надгробие 1;56.03044;49.20671;Высокогорский;Ибря;16;да;нет;кладбище;вертикаль;1515;;;;;;https://sketchfab.com/3d-models/ibrya-tombstone-1-ef2c59f0c1aa459e8e9cccdf9c2a5bf1
51;Ибринское надгробие 2;56.03061;49.20609;Высокогорский;Ибря;16;да;да;кладбище;горизонталь;;;;;;;https://sketchfab.com/3d-models/2ibrya-tombstone-2-ec43cb8fd8de4fa5a547c70d29ec47b1
52;Русско-татайшинское надгробие 1;56.07869;49.37341;Высокогорский;Русско-Татарская Айша;16;да;нет;кладбище;горизонталь;;;;;;;https://sketchfab.com/3d-models/1-f3eb7881eedf42e69f194bd8902c1a1a
53;Русско-татайшинское надгробие 2;56.08497;49.37554;Высокогорский;Русско-Татарская Айша;16;да;нет;отдельно;горизонталь;;;;;;;https://sketchfab.com/3d-models/2-822f7b1c1710435cb25b6be0a6785ca6
54;Туктамышское надгробие 1;56.07991;49.42812;Высокогорский;Туктамыш;17;да;да;кладбище;вертикаль;1692;;;;;;https://sketchfab.com/3d-models/1tuktamysh-tombstone-1-789e5d5e1231470fa06f09cb16e0bf3a
55;Туктамышское надгробие 2;56.07985;49.42810;Высокогорский;Туктамыш;16;да;да;кладбище;вертикаль;1544-1545;;;;;;https://sketchfab.com/3d-models/2tuktamysh-tombstone-2-e802aa82135a4872ad5d1844bf175ec6
56;Уньбинское надгробие;56.07640;49.48561;Высокогорский;Уньба;16;нет;нет;отдельно;горизонталь;;;;;;;https://sketchfab.com/3d-models/unba-tombstone-e2bc4e3d292a40a3b2b4019fc16d9fb0
57;Татайшинское надгробие;56.03804;49.67018;Высокогорский;Татарская Айша;16;да;да;кладбище;вертикаль;1542;;;;;;https://sketchfab.com/3d-models/tataisha-tombstone-2bbf3254c22b4842b28a336098f2edf1
58;Пановское надгробие;55.82948;49.93328;Пестречинский;Пановка;16;да;да;отдельно;вертикаль;1545;Тангри-Бирди;м;;;;https://sketchfab.com/3d-models/panovka-tombstone-c57346acb0a04159844d3785db8a12ad
59;Урывкинское надгробие;55.87224;49.95858;Пестречинский;Урывкино;17;да;нет;отдельно;вертикаль;;;;;;;https://sketchfab.com/3d-models/urivkino-tombstone-fb112e4dfc6347009630c0decb4ec26e
60;Татходяшевское надгробие 3;55.82452;49.83682;Пестречинский;Татарское Ходяшево;16;нет;да;кладбище;вертикаль;;;;;;;https://sketchfab.com/3d-models/3-986e98387aaf46a6a520c7f37e9a68cb
61;Татходяшевское надгробие 2;55.82453;49.83675;Пестречинский;Татарское Ходяшево;16;да;да;кладбище;вертикаль;1550;;;;;;https://sketchfab.com/3d-models/2-5098e7f8b2644996b47b3290358ab4cd
62;Татходяшевское надгробие 1;55.82456;49.83718;Пестречинский;Татарское Ходяшево;16;да;да;кладбище;вертикаль;1518;;;;;;https://sketchfab.com/3d-models/1-72679728bf8e43668657a1bb0d3c994d
63;Старозюринское надгробие;55.87770;50.35476;Тюлячинский;Старые Зюри;16;да;нет;отдельно;вертикаль;1516;;;;;;https://sketchfab.com/3d-models/1starzyuri-tombstone-1-0a47cb6e3dc640df9706c8637e2a644c
64;Верхнекибякозинское надгробие 1;55.96954;50.17159;Тюлячинский;Верхние Кибя-Кози;14;да;нет;отдельно;вертикаль;;;;;;;https://sketchfab.com/3d-models/1-7847360ea55d459f9be007083883e002
65;Верхнекибякозинское надгробие 2;55.96958;50.17160;Тюлячинский;Верхние Кибя-Кози;14;да;нет;отдельно;вертикаль;;;;;;;https://sketchfab.com/3d-models/2-9917ca926634478c997beea6967df5b9
66;Большешинарское надгробие;55.98523;50.26260;Тюлячинский;Большой Шинар;16;да;нет;отдельно;вертикаль;;;;;;;https://sketchfab.com/3d-models/bolshoj-shinar-23a22fc0541f477daa547e471dff029e
67;Тямтиметескинское надгробие 3;55.89357;50.14034;Тюлячинский;Тямти-Метески;16;да;да;отдельно;вертикаль;;;;;;;https://sketchfab.com/3d-models/3-a00b4ab4eb924dfa92461dc7c4646661
68;Тямтиметескинское надгробие 1;55.88186;50.12571;Тюлячинский;Тямти-Метески;16;да;да;кладбище;вертикаль;;;;;;;https://sketchfab.com/3d-models/1-4d17f50b861c4ecab7bb700a16ffc190
69;Тямтиметескинское надгробие 2;55.88184;50.12575;Тюлячинский;Тямти-Метески;16;да;нет;кладбище;горизонталь;;;;;;;https://sketchfab.com/3d-models/2-2928f507b40f40e197839c69011d8338
70;Чаллынское (Казакларское) надгробие;55.64798;50.68279;Рыбно-Слободский;;16;да;да;кладбище;вертикаль;;;;;;;https://sketchfab.com/3d-models/b32247bd324c489e9e9027cffadba744
71;Тямтинское надгробие;55.74391;50.41626;Тюлячинский;Тямти;16;да;да;отдельно;вертикаль;1547;;;;;;https://sketchfab.com/3d-models/tyamti-tombstone-5de2bf338c7f47178af780ad93309029
72;Большенырсинское надгробие;55.72564;50.30070;Тюлячинский;Большие Нырси;14;да;да;отдельно;вертикаль;1472;;м;;;;https://sketchfab.com/3d-models/3accb122e55743759f61846571a2b97a
73;Таутерменьское надгробие;55.75630;50.16297;Тюлячинский;Таутермень;14;да;да;отдельно;вертикаль;;;ж;;;;https://sketchfab.com/3d-models/tautermen-tombstone-9a391ac485764ba3a3164f4191d35777
74;Шадкинское надгробие 1;55.71965;50.19400;Тюлячинский;Шадки;16;да;да;отдельно;вертикаль;;;;;;;https://sketchfab.com/3d-models/1shadki-tombstone1-ef6ed24b7cb144d8bd1fb94c69b09605
75;Шадкинское надгробие 2;55.71964;50.19397;Тюлячинский;Шадки;16;да;нет;отдельно;горизонталь;;;;;;;https://sketchfab.com/3d-models/2shadki-tombstone-2-29ea8b34bfb14f30aeacd90f5dfd7e9c
76;Ташлы-Ковалинское надгробие;56.06550;49.47693;Высокогорский;Ташлы-Ковали;17;да;нет;отдельно;горизонталь;;;;;;;https://sketchfab.com/3d-models/ae68e9b61952442d9ecfcda77c0bab0b
